filename,filepath,label,category
00007tamp1.jpg,./data\MICC-F2000\00007tamp1.jpg,1,forged
00007tamp10.jpg,./data\MICC-F2000\00007tamp10.jpg,1,forged
00007tamp11.jpg,./data\MICC-F2000\00007tamp11.jpg,1,forged
00007tamp12.jpg,./data\MICC-F2000\00007tamp12.jpg,1,forged
00007tamp13.jpg,./data\MICC-F2000\00007tamp13.jpg,1,forged
00007tamp14.jpg,./data\MICC-F2000\00007tamp14.jpg,1,forged
00007tamp2.jpg,./data\MICC-F2000\00007tamp2.jpg,1,forged
00007tamp3.jpg,./data\MICC-F2000\00007tamp3.jpg,1,forged
00007tamp4.jpg,./data\MICC-F2000\00007tamp4.jpg,1,forged
00007tamp5.jpg,./data\MICC-F2000\00007tamp5.jpg,1,forged
00007tamp6.jpg,./data\MICC-F2000\00007tamp6.jpg,1,forged
00007tamp7.jpg,./data\MICC-F2000\00007tamp7.jpg,1,forged
00007tamp8.jpg,./data\MICC-F2000\00007tamp8.jpg,1,forged
00007tamp9.jpg,./data\MICC-F2000\00007tamp9.jpg,1,forged
DSC01172tamp1.jpg,./data\MICC-F2000\DSC01172tamp1.jpg,1,forged
DSC01172tamp10.jpg,./data\MICC-F2000\DSC01172tamp10.jpg,1,forged
DSC01172tamp11.jpg,./data\MICC-F2000\DSC01172tamp11.jpg,1,forged
DSC01172tamp12.jpg,./data\MICC-F2000\DSC01172tamp12.jpg,1,forged
DSC01172tamp13.jpg,./data\MICC-F2000\DSC01172tamp13.jpg,1,forged
DSC01172tamp14.jpg,./data\MICC-F2000\DSC01172tamp14.jpg,1,forged
DSC01172tamp2.jpg,./data\MICC-F2000\DSC01172tamp2.jpg,1,forged
DSC01172tamp3.jpg,./data\MICC-F2000\DSC01172tamp3.jpg,1,forged
DSC01172tamp4.jpg,./data\MICC-F2000\DSC01172tamp4.jpg,1,forged
DSC01172tamp5.jpg,./data\MICC-F2000\DSC01172tamp5.jpg,1,forged
DSC01172tamp6.jpg,./data\MICC-F2000\DSC01172tamp6.jpg,1,forged
DSC01172tamp7.jpg,./data\MICC-F2000\DSC01172tamp7.jpg,1,forged
DSC01172tamp8.jpg,./data\MICC-F2000\DSC01172tamp8.jpg,1,forged
DSC01172tamp9.jpg,./data\MICC-F2000\DSC01172tamp9.jpg,1,forged
DSC01176tamp1.jpg,./data\MICC-F2000\DSC01176tamp1.jpg,1,forged
DSC01176tamp10.jpg,./data\MICC-F2000\DSC01176tamp10.jpg,1,forged
DSC01176tamp11.jpg,./data\MICC-F2000\DSC01176tamp11.jpg,1,forged
DSC01176tamp12.jpg,./data\MICC-F2000\DSC01176tamp12.jpg,1,forged
DSC01176tamp13.jpg,./data\MICC-F2000\DSC01176tamp13.jpg,1,forged
DSC01176tamp14.jpg,./data\MICC-F2000\DSC01176tamp14.jpg,1,forged
DSC01176tamp2.jpg,./data\MICC-F2000\DSC01176tamp2.jpg,1,forged
